"","PC1","PC2","cluster","label"
"cell_115",0.0326855634981368,0.00471701928545699,"Cluster_1","Normal"
"cell_116",0.0340141570651317,-0.00411308352390116,"Cluster_1","Normal"
"cell_117",0.0333708781145329,-0.00109820547467939,"Cluster_1","Normal"
"cell_118",0.0333708781145329,-0.00109820547467939,"Cluster_1","Normal"
"cell_119",0.0323661697667911,-0.00181182649647335,"Cluster_1","Normal"
"cell_120",0.0329587840187628,0.00395539536056203,"Cluster_1","Normal"
"cell_121",0.0327662275346136,0.00284120306624158,"Cluster_1","Normal"
"cell_122",0.0335345938888021,-0.00175414441321421,"Cluster_1","Normal"
"cell_123",0.0340343831427829,-0.00422513117613704,"Cluster_1","Normal"
"cell_124",0.0341219977310167,-0.00454563407754459,"Cluster_1","Normal"
"cell_125",0.0333708781145329,-0.00109820547467939,"Cluster_1","Normal"
"cell_126",0.0333708781145329,-0.00109820547467939,"Cluster_1","Normal"
"cell_127",0.0333708781145329,-0.00109820547467939,"Cluster_1","Normal"
"cell_128",0.0333708781145329,-0.00109820547467939,"Cluster_1","Normal"
"cell_129",0.0333708781145329,-0.00109820547467939,"Cluster_1","Normal"
"cell_130",0.032310739007724,0.00711182786464028,"Cluster_1","Normal"
"cell_131",0.0327506451178655,-0.000255165991016676,"Cluster_1","Normal"
"cell_132",0.0327630606909007,0.00195544024300638,"Cluster_1","Normal"
"cell_133",0.0333708781145329,-0.00109820547467939,"Cluster_1","Normal"
"cell_134",0.03268619747703,0.0110104853802571,"Cluster_1","Normal"
"cell_135",0.0333708781145329,-0.00109820547467939,"Cluster_1","Normal"
"cell_136",0.0310893181678451,0.0146093263137836,"Cluster_1","Normal"
"cell_137",0.0331782872415931,-0.000469146898006234,"Cluster_1","Normal"
"cell_138",0.0333708781145329,-0.00109820547467939,"Cluster_1","Normal"
"cell_139",0.0337597068280714,-0.00269262161687401,"Cluster_1","Normal"
"cell_140",0.0331637355233815,0.0217484203863425,"Cluster_1","Normal"
"cell_141",0.032844531359216,0.00203856992472784,"Cluster_1","Normal"
"cell_142",0.0332640188030945,-0.0010673942418213,"Cluster_1","Normal"
"cell_143",0.032542205400028,-0.00157950710875644,"Cluster_1","Normal"
"cell_144",0.0333708781145329,-0.00109820547467939,"Cluster_1","Normal"
"cell_145",0.0335667238912959,-0.0020734908037125,"Cluster_1","Normal"
"cell_146",0.0333708781145329,-0.00109820547467939,"Cluster_1","Normal"
"cell_147",0.0333708781145329,-0.00109820547467939,"Cluster_1","Normal"
"cell_148",0.0325887493455127,-0.00449002575350581,"Cluster_1","Normal"
"cell_149",0.0331341244610844,0.000501795730105884,"Cluster_1","Normal"
"cell_150",0.0331180119575134,0.0182141041034642,"Cluster_1","Normal"
"cell_151",0.0331253359232478,-0.000292232247838486,"Cluster_1","Normal"
"cell_152",0.0333708781145329,-0.00109820547467939,"Cluster_1","Normal"
"cell_153",0.0333708781145329,-0.00109820547467939,"Cluster_1","Normal"
"cell_154",0.0335680101908399,-0.00317257884945303,"Cluster_1","Normal"
"cell_155",0.0346763547202291,-0.00749982039624825,"Cluster_1","Normal"
"cell_156",0.0309150524159683,0.00433186298835632,"Cluster_1","Normal"
"cell_157",0.033381319831041,-0.0011268137692656,"Cluster_1","Normal"
"cell_158",0.0328643000812078,0.000793971812275134,"Cluster_1","Normal"
"cell_159",0.0337597068280714,-0.00269262161687401,"Cluster_1","Normal"
"cell_160",0.0330013684118441,-0.000379506605639953,"Cluster_1","Normal"
"cell_161",0.0338017967882073,-0.000555648033802244,"Cluster_1","Normal"
"cell_162",0.0309428715159686,0.0211627840257008,"Cluster_1","Normal"
"cell_163",0.0340343831427829,-0.00422513117613704,"Cluster_1","Normal"
"cell_164",0.0340343831427829,-0.00422513117613704,"Cluster_1","Normal"
"cell_165",0.0340343831427829,-0.00422513117613704,"Cluster_1","Normal"
"cell_166",0.0333127596512913,0.00142868399292843,"Cluster_1","Normal"
"cell_167",0.0334812312866909,-0.00152923848912693,"Cluster_1","Normal"
"cell_168",0.0328685835580688,0.00175222903856163,"Cluster_1","Normal"
"cell_169",0.0333708781145329,-0.00109820547467939,"Cluster_1","Normal"
"cell_170",0.032542205400028,-0.00157950710875644,"Cluster_1","Normal"
"cell_171",0.0340343831427829,-0.00422513117613704,"Cluster_1","Normal"
"cell_172",0.0334251404639231,-0.0015770561413721,"Cluster_1","Normal"
"cell_173",0.0333708781145329,-0.00109820547467939,"Cluster_1","Normal"
"cell_174",0.0333708781145329,-0.00109820547467939,"Cluster_1","Normal"
"cell_175",0.0320529500383521,0.00877596184400553,"Cluster_1","Normal"
"cell_176",0.0327910524991931,0.00221406487022022,"Cluster_1","Normal"
"cell_177",0.033521221095124,-0.00263707566812615,"Cluster_1","Normal"
"cell_178",0.0333708781145329,-0.00109820547467939,"Cluster_1","Normal"
"cell_179",0.0326290270312291,0.00510950856270285,"Cluster_1","Normal"
"cell_180",0.0323195220017235,0.00146626193765288,"Cluster_1","Normal"
"cell_181",0.0333708781145329,-0.00109820547467939,"Cluster_1","Normal"
"cell_182",0.0330021678039099,0.000658435182963074,"Cluster_1","Normal"
"cell_183",0.0321711430947326,0.00347810209210686,"Cluster_1","Normal"
"cell_184",0.0316123150584951,0.0212612039160525,"Cluster_1","Normal"
"cell_185",0.0339514450142525,-0.0038342654634544,"Cluster_1","Normal"
"cell_186",0.0333708781145329,-0.00109820547467939,"Cluster_1","Normal"
"cell_187",0.0334365888066343,-0.00178966326627063,"Cluster_1","Normal"
"cell_188",0.0332856184736823,-0.000377227156317379,"Cluster_1","Normal"
"cell_189",0.0335539524626238,-0.00242762966083059,"Cluster_1","Normal"
"cell_190",0.0333708781145329,-0.00109820547467939,"Cluster_1","Normal"
"cell_191",0.0327660068596015,0.00712003965886856,"Cluster_1","Normal"
"cell_192",0.0333304691632771,-0.000876649143253781,"Cluster_1","Normal"
"cell_193",0.0332571437689109,0.00254070975963018,"Cluster_1","Normal"
"cell_194",0.0340343831427829,-0.00422513117613704,"Cluster_1","Normal"
"cell_195",0.0336671351123952,-0.00332426482049105,"Cluster_1","Normal"
"cell_196",0.0331034282226702,0.00196311687506398,"Cluster_1","Normal"
"cell_197",0.0302644930066113,0.0389343887741279,"Cluster_1","Normal"
"cell_198",0.0333406179126132,-0.00104898400348164,"Cluster_1","Normal"
"cell_199",0.032926396130718,0.000630704820360095,"Cluster_1","Normal"
"cell_200",0.0333337507697998,-0.000811820162664504,"Cluster_1","Normal"
"cell_201",0.0318838050719882,0.0144906031329275,"Cluster_1","Normal"
"cell_202",0.0333708781145329,-0.00109820547467939,"Cluster_1","Normal"
"cell_203",0.0333708781145329,-0.00109820547467939,"Cluster_1","Normal"
"cell_204",0.0333708781145329,-0.00109820547467939,"Cluster_1","Normal"
"cell_205",0.0333708781145329,-0.00109820547467939,"Cluster_1","Normal"
"cell_206",0.0332364094526377,-0.00135619809271325,"Cluster_1","Normal"
"cell_207",0.0324663031077315,-0.0120738898201117,"Cluster_1","Normal"
"cell_208",0.0336433411433909,-0.00199914205241356,"Cluster_1","Normal"
"cell_209",0.0340343831427829,-0.00422513117613704,"Cluster_1","Normal"
"cell_210",0.0323402753459574,0.00221973909854092,"Cluster_1","Normal"
"cell_211",0.0321633447098733,0.00326205532658601,"Cluster_1","Normal"
"cell_212",0.0334837340264795,-0.00176052566833414,"Cluster_1","Normal"
"cell_213",0.0317836603064356,-0.00762701606881495,"Cluster_1","Normal"
"cell_214",0.0333708781145329,-0.00109820547467939,"Cluster_1","Normal"
"cell_215",0.0337409786853299,-0.00263863361089411,"Cluster_1","Normal"
"cell_216",0.0320529500383521,0.00877596184400553,"Cluster_1","Normal"
"cell_217",0.0333708781145329,-0.00109820547467939,"Cluster_1","Normal"
"cell_218",0.0339939464401672,-0.00416177405556136,"Cluster_1","Normal"
"cell_219",0.0337626017195059,-0.00469867664303593,"Cluster_1","Normal"
"cell_220",0.0327585525487961,0.00119178599487867,"Cluster_1","Normal"
"cell_221",0.032542205400028,-0.00157950710875644,"Cluster_1","Normal"
"cell_222",0.0340343831427829,-0.00422513117613704,"Cluster_1","Normal"
"cell_223",0.0316637943830161,0.0100626455237496,"Cluster_1","Normal"
"cell_224",0.0330301941021438,0.000447300953978601,"Cluster_1","Normal"
"cell_225",0.0328226849820353,0.00454817157643361,"Cluster_1","Normal"
"cell_226",0.0324466760870253,0.00206269323465568,"Cluster_1","Normal"
"cell_227",0.0342380990193941,-0.00548779604437479,"Cluster_1","Normal"
"cell_228",0.0337046482694248,-0.00242902598889883,"Cluster_1","Normal"
"cell_229",0.0318363131051545,0.00811342289643506,"Cluster_1","Normal"
"cell_230",0.033539177758312,-0.00166414510504258,"Cluster_1","Normal"
"cell_231",0.0335349363984164,0.00207295626602528,"Cluster_1","Normal"
"cell_232",0.0340343831427829,-0.00422513117613704,"Cluster_1","Normal"
"cell_233",0.0333708781145329,-0.00109820547467939,"Cluster_1","Normal"
"cell_234",0.0330338616361635,-0.000645232791195612,"Cluster_1","Normal"
"cell_235",0.0327312729081612,0.00236589411380217,"Cluster_1","Normal"
"cell_236",0.0330555084051698,0.00433844605753257,"Cluster_1","Normal"
"cell_237",0.0333708781145329,-0.00109820547467939,"Cluster_1","Normal"
"cell_238",0.0333708781145329,-0.00109820547467939,"Cluster_1","Normal"
"cell_239",0.0336433478980436,0.00640411469668554,"Cluster_1","Normal"
"cell_240",0.0334604126567272,-0.00202139215848963,"Cluster_1","Normal"
"cell_241",0.0325145793786561,0.00469975107182392,"Cluster_1","Normal"
"cell_242",0.0330351549205764,0.000130462442145909,"Cluster_1","Normal"
"cell_243",0.0335786371894431,-0.000309724670991139,"Cluster_1","Normal"
"cell_244",0.033657586119929,0.00229373551080628,"Cluster_1","Normal"
"cell_245",0.0334316523966482,-0.00162084331000211,"Cluster_1","Normal"
"cell_246",0.0333708781145329,-0.00109820547467939,"Cluster_1","Normal"
"cell_247",0.0333708781145329,-0.00109820547467939,"Cluster_1","Normal"
"cell_248",0.0324936798286256,0.00202120936123712,"Cluster_1","Normal"
"cell_249",0.0327958086925697,0.00475310293272045,"Cluster_1","Normal"
"cell_250",0.033597981131768,-0.00403825771600539,"Cluster_1","Normal"
"cell_251",0.0324589330841595,-0.00541341924608355,"Cluster_1","Normal"
"cell_252",0.0336696765939657,-0.00210057538013292,"Cluster_1","Normal"
"cell_253",0.0333708781145329,-0.00109820547467939,"Cluster_1","Normal"
"cell_254",0.0337597068280714,-0.00269262161687401,"Cluster_1","Normal"
"cell_255",0.0320837366991127,0.00147139775938512,"Cluster_1","Normal"
"cell_256",0.0333708781145329,-0.00109820547467939,"Cluster_1","Normal"
"cell_257",0.0314188549245905,0.0419801281382919,"Cluster_1","Normal"
"cell_258",0.0327823121577307,0.00837401662552793,"Cluster_1","Normal"
"cell_259",0.0330168983619039,0.00108398331311932,"Cluster_1","Normal"
"cell_260",0.0333708781145329,-0.00109820547467939,"Cluster_1","Normal"
"cell_261",0.0320153438502087,0.00816475506021802,"Cluster_1","Normal"
"cell_262",0.0333708781145329,-0.00109820547467939,"Cluster_1","Normal"
"cell_263",0.0340343831427829,-0.00422513117613704,"Cluster_1","Normal"
"cell_264",0.0332562668276621,-0.000885906587509624,"Cluster_1","Normal"
"cell_265",0.0333708781145329,-0.00109820547467939,"Cluster_1","Normal"
"cell_266",0.0326301710815169,-0.00189399128789987,"Cluster_1","Normal"
"cell_267",0.0341573040732572,-0.00293747645500777,"Cluster_1","Normal"
"cell_268",0.0328685835580688,0.00175222903856163,"Cluster_1","Normal"
"cell_269",0.0333708781145329,-0.00109820547467939,"Cluster_1","Normal"
"cell_270",0.0333708781145329,-0.00109820547467939,"Cluster_1","Normal"
"cell_271",0.0327149285162035,0.0022550297848883,"Cluster_1","Normal"
"cell_272",0.0313477489756555,0.00426645317493311,"Cluster_1","Normal"
"cell_273",0.0330315191196812,0.00119157647822582,"Cluster_1","Normal"
"cell_274",0.0333708781145329,-0.00109820547467939,"Cluster_1","Normal"
"cell_275",0.0310712477219235,0.0229206338203171,"Cluster_1","Normal"
"cell_276",0.039885315343799,-0.0917424955846901,"Cluster_1","Normal"
"cell_277",0.0330570767985071,0.000892755125221291,"Cluster_1","Normal"
"cell_278",0.0325552445948173,0.005925527330764,"Cluster_1","Normal"
"cell_279",0.0333708781145329,-0.00109820547467939,"Cluster_1","Normal"
"cell_280",0.0333045991915228,-0.00682246077687429,"Cluster_1","Normal"
